gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_PS19	percent_WT	percent_difference
Impg2	2.93809845156886	0.316374359533802	0.59449981672549	0.532168977404224	0.594608967097327	0.999961478977291	0.888888888888889	0.666666666666667	0.222222222222222
Abi3bp	0.0764463912857139	-0.85196406131445	3.11913203340414	-0.273141390678687	0.784744530803921	0.999961478977291	0	0.111111111111111	0.111111111111111
Tfg	8.36483981543584	0.386627238286098	0.322197498824858	1.1999697070779	0.230151105583326	0.999961478977291	1	1	0
Adgrg7	0.109386628569012	-0.979048534348843	3.12170868679277	-0.31362584807832	0.753805225429113	0.999961478977291	0	0.222222222222222	0.222222222222222
Tmem45a	0.0954592805312851	0.323919103328751	3.11811295416323	0.103883056223561	0.917262153523452	0.999961478977291	0.222222222222222	0	0.222222222222222
Gm15839	0	NA	NA	NA	NA	NA	0	0	0
Lnp1	0.038223195642857	-0.604097451175969	3.121709169642	-0.193514968354739	0.846555684559865	0.999961478977291	0	0.111111111111111	0.111111111111111
Tmem45a2	0	NA	NA	NA	NA	NA	0	0	0
Tomm70a	12.6503253363587	-0.0684935902681318	0.337760211669283	-0.202787622407097	0.839301032825515	0.999961478977291	1	1	0
Nit2	2.34883613354338	-1.38438622822195	0.682937311860298	-2.02710586195814	0.0426515875178502	0.999961478977291	0.666666666666667	1	0.333333333333333
Gm16892	0.957352144058382	0.143980953874838	1.05557886360074	0.13639999704399	0.89150507601507	0.999961478977291	0.555555555555556	0.555555555555556	0
Tbc1d23	51.0323484948003	0.00630607824342935	0.151443611094424	0.0416397773260806	0.966785863005288	0.999961478977291	1	1	0
Tmem30c	0.623969712941073	0.379090650046293	1.10907607003864	0.341807618329629	0.732495675944122	0.999961478977291	0.666666666666667	0.444444444444444	0.222222222222222
Gm26800	0	NA	NA	NA	NA	NA	0	0	0
Cmss1	44.3831950471326	0.340947118494572	0.16818610757711	2.02720143421035	0.042641816552966	0.999961478977291	1	1	0
4921517D16Rik	0.144153975534533	0.0846265175860111	3.09497640631261	0.0273431866599708	0.97818601175892	0.999961478977291	0.222222222222222	0.111111111111111	0.111111111111111
Gm49579	0.0451858031550885	0.0720731176817963	3.12174019685505	0.0230874810640569	0.981580491689585	0.999961478977291	0.111111111111111	0	0.111111111111111
Filip1l	9.12322868216233	0.337568999420571	0.37581183626975	0.898239402918302	0.369057930736544	0.999961478977291	1	1	0
Col8a1	0	NA	NA	NA	NA	NA	0	0	0
Gm49575	0	NA	NA	NA	NA	NA	0	0	0
Gm49576	0	NA	NA	NA	NA	NA	0	0	0
Gm49574	0.0266096712215439	-0.0674170522891538	3.12151806594839	-0.0215975210986552	0.982769010948368	0.999961478977291	0.111111111111111	0	0.111111111111111
4930461C15Rik	0.172335390385489	-0.324344662194713	2.46710606547504	-0.131467660322201	0.895405367821438	0.999961478977291	0.222222222222222	0.222222222222222	0
Dcbld2	19.5700926524231	0.123712730431622	0.202483677658577	0.610976311089249	0.541215263082171	0.999961478977291	1	1	0
St3gal6	38.7542290832865	0.325107554254899	0.181057774533039	1.79560118361873	0.0725579675187943	0.999961478977291	1	1	0
Gm49701	0	NA	NA	NA	NA	NA	0	0	0
Cpox	2.97329679136334	-0.190786005506765	0.592893693810123	-0.321787881197915	0.747613395803957	0.999961478977291	0.888888888888889	1	0.111111111111111
Cldnd1	2.11289708164854	-0.549672434941414	0.695226525517626	-0.790637892494335	0.429155328164689	0.999961478977291	0.888888888888889	0.666666666666667	0.222222222222222
Or5k1b	0	NA	NA	NA	NA	NA	0	0	0
Or5ac22	0	NA	NA	NA	NA	NA	0	0	0
Gabrr3	0	NA	NA	NA	NA	NA	0	0	0
Riox2	2.99649499066716	0.37487783225066	0.728418854166727	0.514645976152691	0.606800431163552	0.999961478977291	0.888888888888889	0.888888888888889	0
Crybg3	3.76127559014093	-0.129826912733925	0.612966129920203	-0.211801119828311	0.832262194845425	0.999961478977291	0.777777777777778	1	0.222222222222222
