gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Atf7ip	0	0.163019986404391	0	0.507	0.325	0.182
Gnai1	0	0.136014781037159	0	0.509	0.327	0.182
Pcbp2	0	0.130654895232662	0	0.5	0.318	0.182
Sv2a	0	0.177686973604536	0	0.505	0.323	0.182
Prpf39	0	0.100181579466823	0	0.526	0.345	0.181
Tub	0	0.105860452301068	0	0.529	0.348	0.181
Cdc73	0	0.142323007196805	0	0.517	0.336	0.181
Cep83	0	0.148836680137412	0	0.515	0.334	0.181
Pals2	0	0.157288099844402	0	0.498	0.317	0.181
Nsg2	0	0.191877032648121	0	0.528	0.348	0.18
Scn1b	0	0.41414327198069	0	0.394	0.214	0.18
Arid1a	0	0.160900077019636	0	0.495	0.315	0.18
Bod1l	0	0.140619817422345	0	0.504	0.324	0.18
Daam1	0	0.133700803766701	0	0.506	0.326	0.18
Fam171a1	0	0.131217304913971	0	0.513	0.333	0.18
Morf4l1	0	0.12366952347094	0	0.489	0.309	0.18
Otud7b	0	0.144505483696124	0	0.496	0.316	0.18
Spock2	0	0.224488039167886	0	0.492	0.312	0.18
Stx16	0	0.236068081521067	0	0.447	0.267	0.18
Cep85l	0	0.212754640447068	0	0.466	0.287	0.179
Lrrfip2	0	0.101973870633752	0	0.528	0.349	0.179
Cblb	0	0.137505212414038	0	0.514	0.335	0.179
Lrig2	0	0.124131690337658	0	0.514	0.335	0.179
Nemf	0	0.113536665284782	0	0.495	0.316	0.179
Nfix	0	0.166751430516601	0	0.51	0.331	0.179
Tab2	0	0.112608619950539	0	0.49	0.311	0.179
Fth1	0	0.25570687349914	0	0.462	0.284	0.178
Frs2	0	0.139582883655516	0	0.479	0.301	0.178
Lclat1	0	0.108147554674885	0	0.507	0.329	0.178
Lrpprc	0	0.120821156879586	0	0.502	0.324	0.178
Sfxn5	0	0.164665045321386	0	0.488	0.31	0.178
Slc1a1	0	0.239091832851344	0	0.482	0.304	0.178
Smc5	0	0.117156328781795	0	0.494	0.316	0.178
Wasl	0	0.155306890289457	0	0.487	0.309	0.178
Sptbn2	0	0.105562473808903	0	0.572	0.394	0.178
Ino80d	0	0.167131224884314	0	0.465	0.288	0.177
Dbn1	0	0.241330606853569	0	0.435	0.258	0.177
Elapor2	0	0.148745852796448	0	0.511	0.334	0.177
Ergic1	0	0.185604589336782	0	0.469	0.292	0.177
Fbxw4	0	0.120221893233368	0	0.518	0.341	0.177
