gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Exoc2	0.412589390687106	-0.474588725830812	1	0.125	0.185	0.06
Hpgd	0.412653176655213	0.413334444227055	1	0.277	0.272	0.005
Edem2	0.412760280373136	-0.243114920261558	1	0.071	0.111	0.04
Ankle2	0.413834771284084	0.929373558217797	1	0.125	0.086	0.039
Otulinl	0.413874964353711	-0.116448263416736	1	0.438	0.506	0.068
Tmem50a	0.414049407235641	-0.83817172741499	1	0.071	0.111	0.04
Nlgn1	0.414616443582586	-1.49948276611344	1	0.089	0.123	0.034
A630001G21Rik	0.41563062435469	-0.462889639238715	1	0.25	0.333	0.083
Pbx1	0.417132194527268	-0.700921460020323	1	0.062	0.123	0.061
Atf6	0.417916378922806	-0.148072272173553	1	0.196	0.247	0.051
Cdc123	0.418373265975822	1.50980809542231	1	0.107	0.049	0.058
Lsamp	0.41903904181385	-0.172600384897696	1	0.286	0.222	0.064
Bri3	0.42029018075069	-0.56889475610321	1	0.134	0.198	0.064
Tnrc6a	0.420366432866348	-0.542028608010561	1	0.205	0.333	0.128
Epn1	0.420482625721719	-0.596271022779961	1	0.071	0.111	0.04
Mgat1	0.420622871097049	0.267148279556549	1	0.116	0.062	0.054
Impact	0.422312235582127	-0.931835418748314	1	0.071	0.136	0.065
Frrs1	0.42272107558787	-0.599795160703271	1	0.232	0.272	0.04
Slmap	0.423362137831603	0.524466150924825	1	0.33	0.235	0.095
Micu2	0.423574221959572	-1.34387855598531	1	0.054	0.123	0.069
Smg6	0.424670435135721	-0.439450628185118	1	0.321	0.42	0.099
Pla2g15	0.424988037054771	-0.322928901411889	1	0.098	0.148	0.05
Plekha1	0.425646667969108	-0.941754506483759	1	0.062	0.123	0.061
Wsb1	0.427861053725141	0.181503240482323	1	0.277	0.284	0.00699999999999995
Eif5b	0.429366231924964	-0.170308736862751	1	0.152	0.198	0.046
Smc1a	0.430536017085916	1.04506794110189	1	0.116	0.086	0.03
Naip5	0.431518378006634	-0.123177192956783	1	0.161	0.198	0.037
Efhd2	0.43192528272633	0.451043586848746	1	0.17	0.111	0.059
Slc38a10	0.432524031172699	-0.332093847908824	1	0.071	0.111	0.04
Tln1	0.432720344504835	-0.348709174072542	1	0.116	0.16	0.044
Tpm3	0.43370654551206	0.373190569068108	1	0.402	0.346	0.056
Znrf2	0.434026242583001	0.224624553700905	1	0.375	0.37	0.005
Tgfbi	0.434028418449122	-0.929230064397083	1	0.054	0.111	0.057
Smad4	0.434137101447904	-1.54650412955068	1	0.045	0.111	0.066
