gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Becn1	9.54703898195702e-16	0.190678279467329	1.71063844478706e-11	0.246	0.213	0.033
Hnrnpul1	9.57809962512572e-16	0.20113955818923	1.71620389083003e-11	0.248	0.215	0.033
Zfp260	9.74862411092223e-16	0.133666495776131	1.74675846819505e-11	0.244	0.215	0.029
Crppa	9.8605511503399e-16	-0.144444685395186	1.7668135551179e-11	0.31	0.321	0.011
Tafa2	1.05150430147583e-15	-0.112374170018056	1.88408540738439e-11	0.642	0.689	0.0469999999999999
Stx18	1.05333660821485e-15	0.11184683509078	1.88736853459937e-11	0.393	0.361	0.032
Ryr3	1.06331289861868e-15	-0.129717137387229	1.90524405174495e-11	0.59	0.635	0.045
Dnajc8	1.07383222840993e-15	0.141740094157065	1.92409258686491e-11	0.288	0.256	0.032
Gnb5	1.07830771147458e-15	0.163984276909775	1.93211175742016e-11	0.333	0.296	0.037
Ube2j2	1.11013774272548e-15	0.21479201210997	1.98914480741552e-11	0.249	0.216	0.033
Afap1l1	1.13909384476029e-15	0.296540277724985	2.04102835104149e-11	0.176	0.143	0.033
Dcp1a	1.15653697113651e-15	0.166500040783802	2.0722829448824e-11	0.294	0.26	0.034
Ikbkb	1.21252898595387e-15	0.13173627826387	2.17260943703214e-11	0.291	0.259	0.032
Ppard	1.23835081354853e-15	0.245357132916316	2.21887698771625e-11	0.193	0.16	0.033
Zfp771	1.24218192659596e-15	0.199651152730728	2.22574157607463e-11	0.261	0.225	0.036
Nup188	1.24346147040804e-15	0.188540219893738	2.22803426267713e-11	0.229	0.198	0.031
Ppp1r16b	1.29154023261061e-15	0.107848611200769	2.31418178879168e-11	0.338	0.306	0.032
Tbc1d14	1.40162370045375e-15	0.150566148589231	2.51142934647302e-11	0.263	0.231	0.032
Ube2e1	1.44635123591102e-15	0.148191555278097	2.59157214450537e-11	0.287	0.253	0.034
Tspyl4	1.45759410461657e-15	-0.106284951074212	2.61171711665196e-11	0.188	0.185	0.003
Stip1	1.50534591048404e-15	0.264738704460364	2.6972788024053e-11	0.203	0.17	0.033
