gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Rbbp4	0.730433705917874	0.263608366804872	1	0.1	0.09	0.01
Fam117b	0.731002458650298	0.162455687854166	1	0.333	0.32	0.013
Slco2b1	0.73164441549815	0.102120405951475	1	0.611	0.55	0.0609999999999999
Arhgap5	0.731656969505482	0.108194839745615	1	0.748	0.74	0.00800000000000001
Fcer1g	0.731790260951054	-0.106796102853082	1	0.185	0.22	0.035
Zfp280d	0.731806096523663	-0.300662824418933	1	0.111	0.15	0.039
Rbm5	0.732264524684089	0.377433396944746	1	0.204	0.16	0.044
Arpc4	0.733840866005493	0.430780203607396	1	0.115	0.08	0.035
Usp40	0.734392221204111	0.874832177765748	1	0.13	0.08	0.05
Cyb5b	0.734910928497318	-0.128597787624843	1	0.089	0.1	0.011
Irf8	0.734947792469607	-0.185531969542865	1	0.333	0.36	0.027
Myo18a	0.736029915362993	-0.151098453614789	1	0.093	0.11	0.017
Ube2d2a	0.736108671940105	0.202360487779937	1	0.2	0.19	0.01
Ralgapa2	0.736734538712273	-0.708356939581444	1	0.078	0.12	0.042
Rap1b	0.736938152708726	0.102612057084281	1	0.381	0.32	0.061
Dcp2	0.737291123982518	-0.728406368680102	1	0.07	0.1	0.03
Myh9	0.737754532390365	0.350113472851653	1	0.337	0.28	0.057
Atg10	0.737798190425754	-0.295369560478465	1	0.244	0.28	0.036
Tlr4	0.73889109236892	0.337199352550123	1	0.107	0.07	0.037
Abcd2	0.740330102546258	0.514224509827012	1	0.244	0.2	0.044
Nsmce2	0.74225405686194	-0.182463402096164	1	0.285	0.35	0.065
Srrm1	0.742716382338039	-0.440845328566224	1	0.174	0.19	0.016
Atp6v1e1	0.742790557075031	-1.29541665450521	1	0.048	0.1	0.052
Spsb1	0.744545857219228	0.23015923816754	1	0.111	0.09	0.021
Tmem135	0.745696659077764	-0.217309242123777	1	0.53	0.59	0.0599999999999999
Thumpd3	0.745896369564376	0.145797159260359	1	0.119	0.09	0.029
Ppcdc	0.748402117039354	-0.125382860977449	1	0.344	0.37	0.026
Fip1l1	0.75020630780651	-1.2277101263537	1	0.048	0.1	0.052
Eif5	0.751366105510333	0.552845856293339	1	0.148	0.1	0.048
Smc1a	0.752269224813106	0.397385668638713	1	0.104	0.09	0.014
Zfp644	0.752487447904809	-0.351471096808493	1	0.263	0.29	0.027
Srpr	0.75332553824357	-1.18460309204619	1	0.044	0.1	0.056
Smad2	0.75555983247045	-0.173018981075284	1	0.133	0.15	0.017
Pggt1b	0.756985046793325	-0.122743998266025	1	0.122	0.13	0.00800000000000001
Aim2	0.758320356310963	0.22882273652607	1	0.389	0.33	0.059
Klf12	0.760170438177296	0.192218525696936	1	0.522	0.52	0.002
Capn3	0.760361761336379	0.225848357058648	1	0.341	0.31	0.031
Map3k1	0.761287366550345	-0.146736409619023	1	0.17	0.19	0.02
Slain2	0.761458483923383	-0.569499744032242	1	0.093	0.13	0.037
Ankrd11	0.761552693473727	-0.117009538516667	1	0.493	0.54	0.047
Zrsr2	0.761836735132238	-0.109579468549154	1	0.126	0.13	0.004
Ggps1	0.761986983645365	-0.250010650935744	1	0.081	0.1	0.019
Tmem219	0.765515185190704	0.262884465589723	1	0.111	0.09	0.021
Itgav	0.765920180133794	-0.220947473716461	1	0.315	0.34	0.025
Rubcnl	0.768478731607844	-0.567562224740706	1	0.141	0.19	0.049
Stx16	0.768691987850136	0.29544396239108	1	0.215	0.2	0.015
Srcap	0.768843560810117	-0.276340422929804	1	0.119	0.15	0.031
Vav2	0.768959179588002	0.314306559673432	1	0.204	0.18	0.024
Ap2b1	0.770903249423727	0.257179196584296	1	0.178	0.14	0.038
Dym	0.772490763473108	-0.391116217582304	1	0.089	0.11	0.021
Nfatc1	0.774760974056352	-0.232312659652176	1	0.193	0.22	0.027
Arglu1	0.775071752172556	-0.495546638403123	1	0.244	0.34	0.096
Morc3	0.775435967726574	0.233386593532801	1	0.319	0.27	0.049
Ube2w	0.775552797630272	-0.325076311855146	1	0.1	0.11	0.01
Nrp2	0.775727478883026	0.483723239036504	1	0.137	0.09	0.047
Adam17	0.776056702670467	0.295488521214605	1	0.3	0.28	0.02
Soga1	0.776375400289882	-0.1645140987587	1	0.407	0.43	0.023
Ik	0.777170817178174	-0.305903232058192	1	0.1	0.11	0.01
Mga	0.777375285945209	-0.55332712888445	1	0.063	0.11	0.047
Son	0.777763476260816	-0.141346680579584	1	0.648	0.66	0.012
Mad1l1	0.778058331476936	-0.630128062340674	1	0.078	0.1	0.022
Rnf19b	0.779638909570433	0.359360285457659	1	0.133	0.11	0.023
Mdm4	0.780497499606178	0.244348622063379	1	0.248	0.2	0.048
Pten	0.780915753506746	-0.295150062523145	1	0.204	0.23	0.026
Snrnp48	0.781591166120049	0.273369193949939	1	0.133	0.11	0.023
Atf6	0.781684587862182	0.598418854253521	1	0.248	0.2	0.048
Abcb1b	0.78170749655746	0.315326890197937	1	0.17	0.14	0.03
9930111J21Rik2	0.782254434472808	0.715555187955957	1	0.156	0.1	0.056
Zfp182	0.782958941061712	-0.105864710123553	1	0.144	0.16	0.016
Mdm2	0.784442976159653	-0.309169399756985	1	0.089	0.1	0.011
Spire1	0.785224687069749	0.152136416334448	1	0.2	0.16	0.04
Cdk12	0.785752850575911	-0.232616587330056	1	0.23	0.25	0.02
Foxo3	0.787173297402575	0.232546207602299	1	0.293	0.27	0.023
Glul	0.787286158561591	0.248607114207274	1	0.119	0.11	0.00899999999999999
Zdhhc14	0.787337517018994	-0.191409155702573	1	0.152	0.17	0.018
Dst	0.78768583835054	0.263653397637639	1	0.726	0.66	0.0659999999999999
Atp6v0a2	0.787887675930267	-0.324731680387327	1	0.167	0.16	0.00700000000000001
Atg5	0.788026914569483	0.216143128722608	1	0.111	0.1	0.011
Mettl15	0.791523696704835	0.330746087042849	1	0.107	0.09	0.017
Arhgap39	0.79200968334069	-0.201446449752106	1	0.519	0.55	0.031
Zfp609	0.792156093710076	0.125216598150271	1	0.148	0.14	0.00799999999999998
Lsamp	0.792647960358211	-0.401690580060117	1	0.196	0.23	0.034
Fbxw7	0.792822016182107	-0.228018866804659	1	0.133	0.15	0.017
Tor1aip2	0.793586851127464	0.298128847969344	1	0.133	0.11	0.023
Abi1	0.796073278198615	0.206274282117281	1	0.422	0.41	0.012
Vps8	0.796123112857081	0.346515837177764	1	0.137	0.1	0.037
Plpp1	0.796677842862005	-0.62904715679966	1	0.089	0.11	0.021
Ccdc62	0.79812847627184	-0.289851905945271	1	0.096	0.12	0.024
Add1	0.798978980980263	0.289818087444448	1	0.126	0.11	0.016
Akap9	0.799183964002229	0.578456092198556	1	0.104	0.07	0.034
Dgkd	0.799371713286786	0.100683248205024	1	0.47	0.47	0
Slc30a9	0.800209356785866	0.537863943326886	1	0.211	0.15	0.061
Otulinl	0.802531214240342	0.120830727635001	1	0.489	0.48	0.00900000000000001
Acsl4	0.804768080330978	0.202844177742499	1	0.226	0.19	0.036
Man2b1	0.805649135737807	-0.339682498751698	1	0.219	0.26	0.041
Il6st	0.806870229390394	0.204903166357604	1	0.315	0.29	0.025
Sall3	0.807110438943313	-0.180321729978436	1	0.148	0.14	0.00799999999999998
Mfhas1	0.808368416507527	0.651941549215874	1	0.174	0.11	0.064
Slc12a9	0.809463380593821	-0.171226311016813	1	0.096	0.1	0.004
Abhd15	0.810418979831953	-0.887274479772507	1	0.059	0.11	0.051
Tm9sf2	0.810938634737543	0.1646308853855	1	0.141	0.13	0.011
Ezh1	0.812324107418641	-0.556339374337379	1	0.074	0.1	0.026
Phka2	0.813327725426441	0.323441880730703	1	0.137	0.13	0.00700000000000001
Nfix	0.81339157711448	-0.479332394925483	1	0.063	0.1	0.037
Relch	0.814039446138427	0.328176615810132	1	0.17	0.15	0.02
Csf3r	0.817438207791583	0.249122885891542	1	0.604	0.53	0.074
Fut8	0.817609347341753	0.207991363898094	1	0.111	0.1	0.011
Fmn1	0.818442291804578	0.424762758482239	1	0.141	0.12	0.021
Ddx50	0.819835764568774	-0.283938203175575	1	0.1	0.11	0.01
Hps3	0.821687367919407	-0.376908898560542	1	0.263	0.3	0.037
Akna	0.822533010478427	0.127368448668194	1	0.107	0.08	0.027
Ncl	0.822672648367997	0.264868617838472	1	0.141	0.11	0.031
Rpl10a	0.824041293367269	-0.140502773417802	1	0.133	0.16	0.027
