gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Gm2000	32.720826024501	0.484672820974719	0.448757479161524	1.08003285400457	0.280127550318961	0.999919888928009	1	1	0
Soat1	349.721280632304	-0.0511134001606366	0.129661055511977	-0.394207805565144	0.693427623330631	0.999919888928009	1	1	0
Abl2	2536.53225641645	0.061072652800904	0.0819214333289358	0.745502737429915	0.455967856906727	0.999919888928009	1	1	0
Tor3a	150.59830061815	-0.112541230708578	0.168582778127499	-0.667572524065671	0.50440650121358	0.999919888928009	1	1	0
Fam20b	554.366768978206	0.135165096791711	0.0795610560382716	1.6988851521364	0.0893408251419989	0.999919888928009	1	1	0
Ralgps2	1733.63343465749	0.0320580733302507	0.104149948963532	0.307806903885049	0.758229267946394	0.999919888928009	1	1	0
Angptl1	75.6104871740473	-0.561874394490346	0.320020113564024	-1.75574712549414	0.0791315962736962	0.999919888928009	1	1	0
Tex35	18.2595645329055	0.456278772705758	0.37750758510866	1.20866120497797	0.22679303189979	0.999919888928009	1	1	0
Rasal2	12005.2373482211	-0.121818170990844	0.0622032013386514	-1.95839069966242	0.0501841852422461	0.999919888928009	1	1	0
Cryzl2	12.2417180915443	0.198349025905793	0.475804611084188	0.416870751743718	0.676772948006854	0.999919888928009	1	1	0
Sec16b	38.0668196500945	0.270058309547086	0.254444309938831	1.06136509640168	0.288524012670522	0.999919888928009	1	1	0
Brinp2	4392.52323601185	-0.0348497639095231	0.115272087168035	-0.302326129123711	0.762403461560163	0.999919888928009	1	1	0
Astn1	7908.31274422606	0.0334864039900025	0.0612437261581277	0.546772805814307	0.584534828149132	0.999919888928009	1	1	0
Pappa2	52.8396527046573	-0.429921868304928	0.252137136769369	-1.70511124943161	0.0881736779517115	0.999919888928009	1	1	0
Cop1	2801.4610171166	-0.0974644548662813	0.0644898790739029	-1.51131396532145	0.130708477520581	0.999919888928009	1	1	0
Tnr	9163.99961195461	-0.012615413600799	0.0842012753146155	-0.149824495575178	0.880903082817571	0.999919888928009	1	1	0
4930523C07Rik	4.76234437221302	-1.64041405031729	0.72538126298961	-2.26145081767957	0.0237313549748489	0.999919888928009	1	0.8	0.2
Tnn	7.62472736909096	0.238968381225438	0.537075820255755	0.444943473924486	0.656360604286438	0.999919888928009	1	1	0
Mrps14	224.425090290842	0.0103067140290588	0.244642159970181	0.0421297540469518	0.966395260921947	0.999919888928009	1	1	0
Cacybp	201.009707924488	-0.191913962873866	0.15729680055132	-1.22007543828745	0.222436278589154	0.999919888928009	1	1	0
Rabgap1l	11227.8617151409	-0.0460950845386404	0.0573481762696576	-0.803775944363011	0.421526384938865	0.999919888928009	1	1	0
Gpr52	18.0066136515274	-0.727724692159112	0.374838466543894	-1.94143546383838	0.0522054802175472	0.999919888928009	1	1	0
Rc3h1	1641.94190472328	-0.0632616051298002	0.0884712561821911	-0.715052638107951	0.474576517998429	0.999919888928009	1	1	0
Serpinc1	104.979471016716	-0.360952378792859	0.259130603750201	-1.39293612398176	0.163639107431444	0.999919888928009	1	1	0
Zbtb37	446.20683266025	0.0324110664720761	0.0871352879522094	0.371962579498818	0.709920710752832	0.999919888928009	1	1	0
Dars2	288.334135875006	-0.147021854844782	0.125241270457118	-1.17390900226553	0.240431476253424	0.999919888928009	1	1	0
Cenpl	12.7655289617977	-0.304602988221465	0.44723606894682	-0.681078762137329	0.495821654625738	0.999919888928009	1	1	0
Klhl20	401.963847222458	-0.101994156801956	0.104025402004966	-0.980473565457479	0.32685241200064	0.999919888928009	1	1	0
Ankrd45	793.592099411435	0.0667448983115182	0.0902146953451007	0.739845077968696	0.459394003086023	0.999919888928009	1	1	0
Tex50	244.848556173069	-0.327164389940709	0.227404375942665	-1.43868994861909	0.150238388429026	0.999919888928009	1	1	0
Prdx6	346.334034463368	-0.168024682829216	0.151398283556313	-1.10981894168383	0.267077055309668	0.999919888928009	1	1	0
Tnfsf4	1.8622920600076	0.795372467122877	1.33374357293019	0.596345866826164	0.550944195842025	0.999919888928009	0.75	0.8	0.05
Tnfsf18	0.297266104896592	-0.92887248736045	3.36053214804514	-0.276406368527314	0.782235965814032	0.999919888928009	0.25	0.2	0.05
Fasl	3.54470754452883	0.284617889417673	0.888008042723757	0.320512738313354	0.748579675510417	0.999919888928009	0.75	1	0.25
Suco	894.267068805573	-0.219589889843263	0.132642175162623	-1.65550579650883	0.0978219415971669	0.999919888928009	1	1	0
4930558K02Rik	33.1680863586289	0.000254057776103283	0.36966545002189	0.000687264054804795	0.999451642664644	0.999919888928009	1	1	0
Pigc	113.8126845445	-0.0187383748213057	0.150716349024939	-0.124328746964307	0.901054987093095	0.999919888928009	1	1	0
Dnm3	5407.77555184099	0.0101278743365361	0.0758712850096067	0.133487581438138	0.893807784953476	0.999919888928009	1	1	0
Mettl13	147.196499094047	-0.0785386746482653	0.143731799346627	-0.546425182216356	0.584773703935142	0.999919888928009	1	1	0
Vamp4	1101.40039303745	-0.0180853312945295	0.129286111464121	-0.13988611065581	0.888749975472744	0.999919888928009	1	1	0
Myoc	3.02086362000147	0.315348806037468	1.23614892917075	0.255105836033055	0.798641356761685	0.999919888928009	0.75	0.8	0.05
Myocos	0.295902459288902	-1.16415496581423	2.97855568278193	-0.390845459946858	0.695911470164937	0.999919888928009	0.5	0.2	0.3
Prrc2c	3456.59989631749	-0.0567130156001595	0.0664104002936237	-0.85397792137092	0.393117222788525	0.999919888928009	1	1	0
Fmo4	0.296617298169394	0.979384735037031	3.34517040697418	0.292775738119397	0.769693574226998	0.999919888928009	0	0.2	0.2
