gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Cltrn	0.732313733123013	0.158009808254526	1	0.333	0	0.333
Btbd10	0.73262157623086	-0.162295542692443	1	1	0.889	0.111
Cnn3	0.732954332741174	-0.0205274141714806	1	1	1	0
Pde5a	0.733014482664181	0.11135806439789	1	0.444	0.222	0.222
Pde4b	0.733097723736401	-0.00541701976281672	1	1	1	0
Dhx33	0.733101489788936	-0.0367698664130316	1	0.778	0.778	0
Cry1	0.73315818390462	-0.0342944199855717	1	0.778	0.667	0.111
Cab39	0.733218750985992	-0.0097990004567351	1	1	0.889	0.111
Med21	0.733301751420709	0.0830937457841825	1	1	0.889	0.111
Tomm20	0.733319713176113	-0.0917850208139566	1	0.667	0.778	0.111
Kctd14	0.733450698384231	-0.141150788844519	1	0.111	0.222	0.111
Antxr1	0.733456931284089	0.0646380805793202	1	1	0.889	0.111
Rngtt	0.733553398023091	0.0660924468101158	1	1	1	0
Miip	0.733574912243103	-0.278629845276756	1	0.667	0.667	0
Atl1	0.733579090283227	-0.0914297812481524	1	1	0.778	0.222
Phf23	0.733690364499764	-0.0100963690283011	1	0.222	0.111	0.111
Hes3	0.733728723131591	-0.174410357468163	1	0.222	0.222	0
Bud13	0.733784073026291	0.0992804177947217	1	0.667	0.556	0.111
Tnfsf13	0.733805307060977	0.0452548818316032	1	0.444	0.222	0.222
Nt5c3b	0.733846417843751	-0.0534733135331442	1	0.444	0.556	0.112
Derl1	0.733995810820534	-0.146196974571087	1	1	0.889	0.111
Mrpl17	0.734071701653305	0.170042914627546	1	0.556	0.444	0.112
Taf1a	0.734216692151605	-0.106437229188216	1	1	0.889	0.111
Gsto1	0.73434301894376	0.216417373442266	1	0.667	0.111	0.556
Dlc1	0.7343751826459	0.245694113220958	1	1	0.889	0.111
Mpped2	0.734381154141351	0.152433126464288	1	1	0.667	0.333
Bicc1	0.734546207130555	0.144183549588272	1	1	1	0
Slc25a27	0.734643759437815	-0.0375452682069533	1	1	1	0
Ptp4a1	0.734672888709935	-0.0298741552721906	1	0.667	0.667	0
Gns	0.734847882725951	0.0400960498353693	1	1	0.889	0.111
Vps54	0.734953041694936	-0.115230901849694	1	1	1	0
Rad9b	0.734995313268971	-0.148925711218588	1	1	1	0
Fyco1	0.735078094621447	-0.0968584936960383	1	1	1	0
Nkapl	0.735199227466861	0.154623684087764	1	0.444	0.333	0.111
Frg2f1	0.735253679053988	0.148627335247997	1	0.333	0.222	0.111
Zfp143	0.735289226892936	-0.0315320219745234	1	0.889	1	0.111
Lztr1	0.735359292412284	0.0400307851354869	1	1	1	0
Rab5b	0.735392486717227	0.127127693775894	1	1	1	0
Aifm1	0.735415614647898	0.170822936446202	1	1	0.889	0.111
Tmem276	0.735594604500974	-0.0463022676416034	1	0.667	0.667	0
Fmn1	0.735601085262173	-0.0252816543490249	1	1	1	0
Klf15	0.735688399260806	-0.164783323715199	1	1	1	0
Herc6	0.735704191991823	-0.021007555766674	1	0.889	1	0.111
Fam72a	0.735830187419908	-0.0160064880033719	1	0.333	0.222	0.111
Gabarapl2	0.735898545145249	0.107034090429313	1	0.778	0.667	0.111
Sec63	0.736033377327729	-0.0526964208948129	1	1	0.889	0.111
Sgk3	0.736120063113592	0.0758717934245192	1	1	1	0
Phyh	0.736138578833411	-0.156008122061551	1	0.667	0.556	0.111
Dll3	0.736251237900688	-0.0381007995605689	1	0.111	0.111	0
Grin3b	0.736251237900688	-0.0381007995605689	1	0.111	0.111	0
Lrrc75a	0.736251237900688	-0.0381007995605689	1	0.111	0.111	0
Prr16	0.736251237900688	-0.0381007995605689	1	0.111	0.111	0
Rgcc	0.736334433566358	0.143769995868463	1	0.333	0.222	0.111
Las1l	0.7363565447365	0.164409839397402	1	0.889	0.667	0.222
Nolc1	0.736422567077085	-0.0193667454942634	1	0.889	0.889	0
Gatd3a	0.736598233213722	0.174189168470043	1	0.333	0.111	0.222
Fndc3b	0.736671906977776	-0.0172330017679823	1	0.778	0.556	0.222
Jup	0.736706667692828	0.135556256460668	1	1	1	0
Ndp	0.736794676684283	0.282149931427819	1	0.889	0.444	0.445
Rad54l	0.736899805484193	-0.168333053888241	1	1	0.778	0.222
Atxn2l	0.737038759794591	-0.155071648436815	1	0.889	0.889	0
Zhx3	0.737116119803525	0.0231713888133488	1	1	1	0
Lgals3bp	0.737148998203835	-0.140600118446632	1	0.111	0.111	0
Oplah	0.737229053477171	-0.00384756911785278	1	0.667	0.444	0.223
Casc3	0.737260229391222	-0.163703103733092	1	1	1	0
Mrps33	0.737373207755401	0.155391920369097	1	0.556	0.444	0.112
Ccdc167	0.737536211458827	0.0715763573347179	1	1	1	0
Bend6	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Npas2	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Cd28	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Abcb6	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Kcne4	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Scg2	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
4933407L21Rik	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
2810459M11Rik	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Iqca	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
En1	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Cd55	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Dyrk3	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Optc	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Ptpn7	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Tex35	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Ccdc190	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Sh2d1b2	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Stum	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
Batf3	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Nek2	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
Olah	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Proser2	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Itih2	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Itga8	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
Spag6	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
4921504E06Rik	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Fam166a	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Col5a1	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Cfap77	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Ier5l	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Bbln	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Crb2	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Rbm43	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
Ttc30a2	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Slc43a3	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
F2	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Mdk	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
Potefam1	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Gjd2	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Thbs1	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
AA467197	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Slc12a1	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
Tmc2	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Lamp5	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Tmem74bos	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Tmem74b	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Necab3	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Cd40	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Ptgis	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
Mc3r	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Fam217b	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
Slco4a1	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Chrna4	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Myt1	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Il7	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Sirpb1a	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
Crh	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
