gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Ostf1	0.0540952915525161	-1.41007434926476	1	0.833	0.75	0.083
Efcab14	0.0545115421211578	-0.694102944763056	1	0.833	1	0.167
Mtmr14	0.054675891872534	-2.98734186784454	1	0.167	1	0.833
Eif2s1	0.0546911916446658	-1.73300553503907	1	0.5	0.75	0.25
Marchf7	0.0548328781152994	-1.31785995848193	1	1	1	0
Ndufs3	0.0561501153995252	-3.34715277835511	1	0.167	0.75	0.583
Fyco1	0.0562133114330815	2.25349085488008	1	0.833	0.25	0.583
Tom1l2	0.056482381404069	-2.25497609594074	1	0.667	0.75	0.083
Bin2	0.0565869013694602	1.51464103779308	1	0.833	0.5	0.333
Xrcc5	0.0581789067925418	-2.43581697340437	1	0.5	0.75	0.25
Enpp2	0.059630279826252	-3.31386904676845	1	0.333	0.75	0.417
Akap7	0.0602356711520771	-2.19852109779137	1	0.5	1	0.5
Fndc3a	0.0605477416089139	-1.18680902913568	1	0.833	1	0.167
Abcd3	0.0606283920090561	-2.17328886392962	1	0.5	0.75	0.25
Ap5m1	0.0609321549574771	-2.04922440078113	1	0.5	0.5	0
Clasp2	0.0610538199468041	-0.552289743859252	1	1	1	0
Rassf3	0.061483599960807	2.42959884031521	1	1	0.75	0.25
Zc3h6	0.0623623632908112	-1.77070782359196	1	0.667	0.75	0.083
Entpd1	0.0633142711187073	-0.809000227728616	1	1	1	0
Cd38	0.0633378410240575	-3.09170972657838	1	0	0.75	0.75
Tmem64	0.0634260091016181	-2.20369607306187	1	0.5	1	0.5
Fubp1	0.0635371402659979	-1.56726113062832	1	0.833	1	0.167
Exoc6b	0.0639830215740524	-0.727979504197826	1	1	1	0
Unk	0.0643733931929645	1.00967688772289	1	1	0.25	0.75
Cep120	0.0645073492341929	-2.03261612171595	1	0.667	1	0.333
Galnt7	0.0648318535153041	0.914709139212701	1	1	1	0
Mfap3	0.0650353102119845	2.56391557803159	1	0.833	0	0.833
