gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Zfp280d	0.00912229012647098	0.880728133596106	1	0.325	0.189	0.136
Cdh4	0.00938134728407759	-1.28929372827773	1	0.049	0.134	0.085
Pkia	0.00951193227218881	2.65774137374722	1	0.098	0.024	0.074
Slc7a1	0.00975578861965464	2.31025719778542	1	0.086	0.016	0.07
Fn1	0.00975647890106045	-2.57240543660749	1	0.012	0.071	0.059
Sh3bp4	0.00978849783586102	2.59967770316924	1	0.098	0.024	0.074
Msl1	0.00982777274115858	-2.32167392925184	1	0.031	0.102	0.071
Zbtb38	0.00984585617533726	1.03479274892691	1	0.233	0.118	0.115
Igf1r	0.00995775079785874	0.638817818865286	1	0.564	0.402	0.162
Mob2	0.0100409295541428	1.21060642508265	1	0.245	0.134	0.111
Fam110b	0.0100777633093723	1.06567092052104	1	0.196	0.087	0.109
Ubac2	0.0101669540143781	2.27077955068961	1	0.086	0.016	0.07
Ammecr1l	0.0101669540143781	2.23685820711459	1	0.086	0.016	0.07
Inf2	0.0102466720830777	-1.47841471919419	1	0.049	0.134	0.085
Hnrnpa3	0.0104048274871633	-0.835462657357762	1	0.215	0.339	0.124
Ilkap	0.0104853802046719	2.07668237334246	1	0.086	0.016	0.07
Arhgdib	0.0104853802046719	-2.20229252498776	1	0.025	0.094	0.069
Dnmbp	0.0105613554560219	2.25852254921751	1	0.098	0.024	0.074
Mkln1	0.0106218012184609	0.649951077491848	1	0.423	0.291	0.132
Maml3	0.0107597022730476	-0.668352472458706	1	0.276	0.409	0.133
Samd4	0.010840802811144	0.93368120413921	1	0.35	0.228	0.122
Cnot9	0.0108433986626446	-6.46311177343348	1	0	0.039	0.039
Timm17a	0.0108433986626446	-6.18161137968551	1	0	0.039	0.039
Phyh	0.0108433986626446	-6.44920381187762	1	0	0.039	0.039
Phyhd1	0.0108433986626446	-6.29705940285926	1	0	0.039	0.039
Them4	0.0108433986626446	-6.19009634314763	1	0	0.039	0.039
Prpf38a	0.0108433986626446	-5.7944470108146	1	0	0.039	0.039
Oas1b	0.0108433986626446	-6.44687059149335	1	0	0.039	0.039
Ccdc174	0.0108433986626446	-5.99155426710355	1	0	0.039	0.039
Cebpg	0.0108433986626446	-6.46878798607109	1	0	0.039	0.039
Sec23ip	0.0108433986626446	-5.8280408114965	1	0	0.039	0.039
Nutf2	0.0108433986626446	-5.95044097631832	1	0	0.039	0.039
Alg9	0.0108433986626446	-5.82118607180322	1	0	0.039	0.039
Sumo3	0.0108433986626446	-6.27142230691674	1	0	0.039	0.039
Ube2n	0.0108433986626446	-6.23738036030093	1	0	0.039	0.039
Hnrnpab	0.0108433986626446	-6.35041653706426	1	0	0.039	0.039
Bltp2	0.0108433986626446	-6.06096478941042	1	0	0.039	0.039
Kcns3	0.0108433986626446	-6.01382697553163	1	0	0.039	0.039
Asb8	0.0108433986626446	-6.43378942408247	1	0	0.039	0.039
Naa60	0.0108433986626446	-6.0661660207727	1	0	0.039	0.039
Zfp81	0.0108433986626446	-5.91649895422469	1	0	0.039	0.039
Garem1	0.0108433986626446	-5.95656133633364	1	0	0.039	0.039
BC031181	0.0108433986626446	-6.6311242353644	1	0	0.039	0.039
Trmt112	0.0108433986626446	-6.35743091212828	1	0	0.039	0.039
Zfand5	0.0108433986626446	-6.01972904667515	1	0	0.039	0.039
Pi4k2a	0.0108433986626446	-6.06115488201411	1	0	0.039	0.039
Ikbkg	0.0108433986626446	-5.97427619958961	1	0	0.039	0.039
Per3	0.0111762233408609	-1.39808345261654	1	0.086	0.181	0.095
Mcur1	0.0111792659526734	-3.74917261559506	1	0.006	0.055	0.049
Gtf2f2	0.0112156047813069	3.19004189665437	1	0.067	0.008	0.059
Sec63	0.0113220230663033	1.66177147714636	1	0.123	0.039	0.084
Hmgb1	0.0113391299172256	-3.49779272809259	1	0.006	0.055	0.049
Rpl41	0.0113391299172256	-3.48326993201428	1	0.006	0.055	0.049
Hmg20b	0.0113670820408744	-1.8754854391555	1	0.031	0.102	0.071
Ddx3y	0.0113768514063291	-1.0647518155246	1	0.086	0.189	0.103
Surf6	0.0115010202643009	-3.29117330201227	1	0.006	0.055	0.049
Iars2	0.0115504437344512	1.83962929747207	1	0.11	0.031	0.079
D2hgdh	0.0115827320835842	6.09359170158255	1	0.049	0	0.049
Nr6a1	0.0115827320835842	5.92129185973502	1	0.049	0	0.049
Atn1	0.0115827320835842	6.04526085750171	1	0.049	0	0.049
Cdr2	0.0115827320835842	5.83686533507163	1	0.049	0	0.049
Nploc4	0.0115827320835842	5.75691876180004	1	0.049	0	0.049
Dgcr2	0.0115827320835842	6.20891219233673	1	0.049	0	0.049
