gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Pitpnc1	0.0028184043889644	0.437760551778555	1	0.892	0.783	0.109
Lclat1	0.0028863397635582	-1.48516262925194	1	0.038	0.157	0.119
Asap2	0.00289937300455922	1.03101533570227	1	0.4	0.217	0.183
Glyr1	0.002927890084544	-2.82787671291155	1	0.015	0.108	0.093
Epas1	0.00302984842947227	1.17024835497165	1	0.438	0.241	0.197
Nsmaf	0.00316305116509574	-2.53754285145463	1	0.015	0.108	0.093
Ak3	0.00316868216241168	2.36952982299935	1	0.169	0.036	0.133
Camta1	0.00322447097459286	-2.64453843971821	1	0.015	0.108	0.093
Lcor	0.00333558852381895	-1.79795679333378	1	0.046	0.169	0.123
Dstyk	0.003346503347832	-2.83908058886628	1	0.023	0.12	0.097
Rsrp1	0.00334833031283752	-1.92054141891566	1	0.062	0.193	0.131
Dnajb6	0.00346690886306404	-2.66881078372595	1	0.023	0.12	0.097
Rac1	0.00352857843476466	-2.69202590083782	1	0.023	0.12	0.097
Dis3l2	0.00367655159663957	-1.31376561708777	1	0.069	0.205	0.136
Septin11	0.00368192135784888	0.751944417220545	1	0.685	0.566	0.119
Notch3	0.00381950850052065	0.599879675492192	1	0.808	0.747	0.0610000000000001
Ddx10	0.00385216001545159	-2.54267302741924	1	0.023	0.12	0.097
Nckap5	0.00392720435949423	3.47871696724696	1	0.123	0.012	0.111
Wdtc1	0.00394478605227551	-3.90766047312555	1	0.008	0.084	0.076
Tacc2	0.00394478605227551	-4.03791950620923	1	0.008	0.084	0.076
Psmd12	0.00403231421414361	-3.74496204970008	1	0.008	0.084	0.076
Usp16	0.00403231421414361	-3.71461059844583	1	0.008	0.084	0.076
Erc1	0.00412160178829833	-3.69509335913396	1	0.008	0.084	0.076
Rbm33	0.00413905498137831	-1.50007981641178	1	0.062	0.193	0.131
Tmem135	0.00416617436586637	-2.28965860333906	1	0.031	0.133	0.102
Dhx9	0.00420247756041099	-2.01473262585305	1	0.023	0.12	0.097
Dpm1	0.00421267977827656	-3.634342557874	1	0.008	0.084	0.076
Napa	0.00421267977827656	-3.2809966366346	1	0.008	0.084	0.076
Micall1	0.00421267977827656	-3.67896204466851	1	0.008	0.084	0.076
Scarb2	0.00430557963607434	-3.19466890206206	1	0.008	0.084	0.076
Rapgef4	0.00437439830751013	-0.98516136080828	1	0.138	0.301	0.163
Rpl37a	0.00440033326656392	-3.16653437418344	1	0.008	0.084	0.076
Tnrc18	0.00440674443176354	2.43460500288115	1	0.177	0.048	0.129
Mprip	0.00448854182207537	0.626608281649415	1	0.623	0.47	0.153
Ssb	0.00449697303191162	-3.04837521440301	1	0.008	0.084	0.076
Plekhm2	0.00449697303191162	-3.78385730931552	1	0.008	0.084	0.076
Ppp4r2	0.0045814540306891	-1.03966165272381	1	0.023	0.12	0.097
Pkia	0.00466469121159868	-2.38691472657363	1	0.031	0.133	0.102
Slc24a3	0.00473376099311174	1.75929168096855	1	0.292	0.133	0.159
Metap1d	0.00479295385672647	-6.60527603631048	1	0	0.06	0.06
Arl14ep	0.00479295385672647	-6.88243943520499	1	0	0.06	0.06
Rprd1b	0.00479295385672647	-6.09045466831139	1	0	0.06	0.06
Pde7a	0.00479295385672647	-6.7960953036224	1	0	0.06	0.06
Cdk5rap2	0.00479295385672647	-6.96738889627491	1	0	0.06	0.06
Tmem50a	0.00479295385672647	-6.45018419863556	1	0	0.06	0.06
Mrpl33	0.00479295385672647	-6.15216519065671	1	0	0.06	0.06
Rpl9	0.00479295385672647	-6.45798693173301	1	0	0.06	0.06
Aup1	0.00479295385672647	-6.79868285140098	1	0	0.06	0.06
Recql	0.00479295385672647	-6.85499108758635	1	0	0.06	0.06
Ifitm3	0.00479295385672647	-6.49167467798843	1	0	0.06	0.06
Aktip	0.00479295385672647	-6.18069620611969	1	0	0.06	0.06
Psmd7	0.00479295385672647	-6.0865621082719	1	0	0.06	0.06
Mtmr2	0.00479295385672647	-6.79922894296498	1	0	0.06	0.06
Pcsk7	0.00479295385672647	-6.7585870432449	1	0	0.06	0.06
Ube2q2	0.00479295385672647	-6.34564437004105	1	0	0.06	0.06
Slc17a5	0.00479295385672647	-6.40773317400774	1	0	0.06	0.06
Aste1	0.00479295385672647	-6.45480888476125	1	0	0.06	0.06
Ap3d1	0.00479295385672647	-6.8894621117698	1	0	0.06	0.06
Mat2b	0.00479295385672647	-6.43584961607502	1	0	0.06	0.06
Fxr2	0.00479295385672647	-6.17290439673587	1	0	0.06	0.06
Nmt1	0.00479295385672647	-6.58365814872498	1	0	0.06	0.06
Tbcd	0.00479295385672647	-6.81863420265448	1	0	0.06	0.06
Sypl	0.00479295385672647	-6.61059690314337	1	0	0.06	0.06
Klhdc2	0.00479295385672647	-6.16120270870649	1	0	0.06	0.06
B3galnt2	0.00479295385672647	-6.53129126153328	1	0	0.06	0.06
Slc4a7	0.00479295385672647	-6.64572958840966	1	0	0.06	0.06
Psmc6	0.00479295385672647	-6.85338263847698	1	0	0.06	0.06
Mettl3	0.00479295385672647	-6.60137602421864	1	0	0.06	0.06
Pcnp	0.00479295385672647	-6.3772910356364	1	0	0.06	0.06
Synj2	0.00479295385672647	-6.79639721976764	1	0	0.06	0.06
Memo1	0.00479295385672647	-7.00915910639046	1	0	0.06	0.06
Tmem241	0.00479295385672647	-6.55663757163428	1	0	0.06	0.06
Zbtb16	0.00481672562494619	-2.60195459483812	1	0.031	0.133	0.102
Med14	0.00489441196515247	-1.83162748016498	1	0.031	0.133	0.102
Alcam	0.00493999618045223	3.93589265255004	1	0.115	0.012	0.103
Gpbp1	0.004951543972812	-1.85166200069151	1	0.069	0.193	0.124
Grb10	0.00496844541950586	-1.3978943087882	1	0.138	0.289	0.151
Asap1	0.00516531869855734	-1.11173835623156	1	0.185	0.361	0.176
Nr6a1	0.00521661854946889	-2.52136813404385	1	0.031	0.133	0.102
Rem1	0.00552533845972046	1.52166769801886	1	0.2	0.06	0.14
Ptbp2	0.00554706509912411	-2.03799810864107	1	0.046	0.157	0.111
Plcl1	0.0055497980285843	0.391117891255705	1	0.992	0.94	0.052
Eps8	0.00558738425269317	0.633132631492035	1	0.508	0.313	0.195
Fgfr1op2	0.00560647594567059	-1.88181577304791	1	0.038	0.145	0.107
Mib1	0.00576041625878665	-1.56666528592636	1	0.062	0.181	0.119
Pkd1	0.00580249155183497	-1.56498634971969	1	0.077	0.205	0.128
Tiparp	0.00587330776491895	2.77503215713445	1	0.154	0.036	0.118
Sf1	0.00587969149874286	-1.7504115385717	1	0.054	0.169	0.115
Tmem219	0.00603224661881304	-3.0325385681576	1	0.015	0.096	0.081
Vstm4	0.00612709623243483	1.61603832045075	1	0.262	0.108	0.154
Snx5	0.00614759054250286	-2.97193787202399	1	0.015	0.096	0.081
Pds5a	0.00617986500848549	-1.3270163540007	1	0.085	0.217	0.132
Prkg1	0.00618344042990096	0.285632126977593	1	0.992	0.988	0.004
Spred2	0.00629661529601237	-1.51627267007369	1	0.046	0.157	0.111
Pten	0.00643196274196684	0.660434706815164	1	0.708	0.578	0.13
Ncoa2	0.00662846060670043	-1.03730134941251	1	0.108	0.253	0.145
Usp45	0.0066290865544775	-2.68933217397767	1	0.015	0.096	0.081
Usp7	0.0066290865544775	-2.54242906940958	1	0.015	0.096	0.081
Ppm1b	0.0066290865544775	-2.58188811862317	1	0.015	0.096	0.081
Pigp	0.00671454102942785	6.37886451872018	1	0.085	0	0.085
Stard9	0.00676321528790035	0.839690951401954	1	0.346	0.169	0.177
Btbd3	0.00680774070218746	-1.17183223792835	1	0.062	0.181	0.119
Nt5c2	0.00680774070218746	-1.71144895655315	1	0.062	0.181	0.119
Rasal2	0.00696751849382221	-0.676066257068946	1	0.354	0.518	0.164
Exoc2	0.00699284040319969	-1.54400387503428	1	0.038	0.145	0.107
Irs1	0.00708697800760264	2.86840545711773	1	0.131	0.024	0.107
Lrrc4	0.00714422679011225	-2.47691107462887	1	0.015	0.096	0.081
Rnf169	0.00721631449966396	-0.936635454754562	1	0.108	0.253	0.145
Slmap	0.00723418756038343	-0.917503143289986	1	0.154	0.313	0.159
Mef2c	0.00725310915710906	-0.953080089743214	1	0.238	0.422	0.184
Pik3r1	0.00751764674389114	0.805712591457157	1	0.423	0.253	0.17
Chd6	0.00752024104381506	-1.19994462431422	1	0.138	0.289	0.151
Adam10	0.00756972977477125	-1.55042957341962	1	0.054	0.169	0.115
Gpc6	0.00763253527907559	0.594484851967183	1	0.808	0.735	0.0730000000000001
Afap1l2	0.0076470944174003	0.908881002410011	1	0.408	0.217	0.191
Caap1	0.00765099694418402	-2.72449813857661	1	0.023	0.108	0.085
Zfp704	0.00778186940143358	-2.49640903808889	1	0.023	0.108	0.085
Ldlrad4	0.00781970962457662	-1.07656610802931	1	0.138	0.289	0.151
Slc6a20a	0.00781984139767598	0.535294616647286	1	0.738	0.53	0.208
Tmem234	0.00791474408764542	-2.59968460485689	1	0.023	0.108	0.085
Gnas	0.00795054897393095	-1.04232400800765	1	0.2	0.361	0.161
Atp2a2	0.0079767145278672	-1.08117983116983	1	0.054	0.169	0.115
Rmnd5a	0.0080496472443107	-3.07691071470006	1	0.023	0.108	0.085
Eif3j1	0.00806260831779212	3.00442463121073	1	0.108	0.012	0.096
Cnot1	0.00832564527421924	-2.50430128673221	1	0.023	0.108	0.085
Hlcs	0.00861007880061885	-2.31009511502934	1	0.023	0.108	0.085
Lsamp	0.00866641848652564	0.175003135669169	1	0.815	0.627	0.188
Pdgfrb	0.00872774237597051	0.43715288775262	1	0.831	0.639	0.192
Pja2	0.00875786033827989	-2.22844659158562	1	0.038	0.133	0.095
Tnfaip1	0.00876069229442346	1.19932116858662	1	0.3	0.145	0.155
Snx6	0.00883920715816569	1.71357551594043	1	0.231	0.096	0.135
Dnmt3a	0.00916729231442967	-1.51718836192996	1	0.069	0.181	0.112
Thsd4	0.00919957387663506	-0.711980907606068	1	0.062	0.181	0.119
Ptn	0.00930807654512395	0.600373297298245	1	0.723	0.566	0.157
Lemd3	0.00935952026469427	-2.09699763148935	1	0.023	0.108	0.085
Epb41	0.0095162109883432	-1.40577370088932	1	0.023	0.108	0.085
Uqcc1	0.00957553892743339	-3.89491219694606	1	0.008	0.072	0.064
Ppp2ca	0.00957553892743339	-3.86951588466949	1	0.008	0.072	0.064
Slc49a4	0.00957553892743339	-3.79279985338028	1	0.008	0.072	0.064
Phf3	0.00957783645274288	-0.745733433372585	1	0.092	0.229	0.137
Atf2	0.00969713363999553	-1.98070118733496	1	0.038	0.133	0.095
Prdm11	0.009782879556794	-3.76448848850355	1	0.008	0.072	0.064
Prpf3	0.009782879556794	-3.33754491846254	1	0.008	0.072	0.064
Coro1c	0.009782879556794	-3.37882651304837	1	0.008	0.072	0.064
Rbl2	0.009782879556794	-3.51524890776372	1	0.008	0.072	0.064
Adamts6	0.009782879556794	-3.65613673918083	1	0.008	0.072	0.064
Anks3	0.009782879556794	-3.68264512877728	1	0.008	0.072	0.064
Wdr43	0.009782879556794	-3.42206862489872	1	0.008	0.072	0.064
Itpk1	0.00983662729001431	-1.87585523663426	1	0.023	0.108	0.085
Dennd3	0.00993481495677907	6.17732717183704	1	0.077	0	0.077
Vti1a	0.00998928917718051	-0.736518166518378	1	0.146	0.301	0.155
Thoc2l	0.00999421180029054	-3.60354449228152	1	0.008	0.072	0.064
Arl13b	0.00999421180029054	-3.34770023865093	1	0.008	0.072	0.064
Fbxl12	0.0101666217953222	-1.78330325622	1	0.023	0.108	0.085
Dipk1a	0.0102096007673779	-3.22754681402796	1	0.008	0.072	0.064
Pms2	0.0102096007673779	-3.12390237192215	1	0.008	0.072	0.064
Ddit4l	0.0102154588611254	2.6300478982287	1	0.123	0.024	0.099
Acap2	0.0103068609981216	-1.49268107511667	1	0.1	0.229	0.129
Arcn1	0.0104259200585384	2.08010159006246	1	0.162	0.048	0.114
A430033K04Rik	0.0104291123710859	-2.88853708560564	1	0.008	0.072	0.064
Sh3kbp1	0.0104291123710859	-3.38357167416653	1	0.008	0.072	0.064
Tinagl1	0.0106063482226208	-1.4325005244312	1	0.031	0.12	0.089
Sobp	0.0106063482226208	-1.58566732443635	1	0.031	0.12	0.089
Itch	0.010645683086107	-1.01024581804003	1	0.185	0.337	0.152
Tmem131l	0.0106528133325466	-2.91670111549015	1	0.008	0.072	0.064
Pgm2	0.0106528133325466	-2.8952850567334	1	0.008	0.072	0.064
Gpi1	0.0106528133325466	-2.78049541002255	1	0.008	0.072	0.064
N4bp1	0.0106528133325466	-3.26520572423281	1	0.008	0.072	0.064
Dync2h1	0.0106528133325466	-2.69134439403678	1	0.008	0.072	0.064
Mtrf1l	0.0106528133325466	-2.91936309575217	1	0.008	0.072	0.064
Nup153	0.0107177896561726	-1.62243197239104	1	0.069	0.181	0.112
Mapkap1	0.0108479273557994	-1.29716871303395	1	0.108	0.241	0.133
Med12l	0.01088077118543	-2.12003894542037	1	0.008	0.072	0.064
Per1	0.01088077118543	-2.50584165506141	1	0.008	0.072	0.064
Amz2	0.01088077118543	-2.82745733225834	1	0.008	0.072	0.064
Brcc3	0.01088077118543	-2.438712302269	1	0.008	0.072	0.064
Zc3h7b	0.0110822370191152	-1.88415062356678	1	0.046	0.145	0.099
Ppp1cb	0.0110938602437072	-1.11810233415678	1	0.123	0.253	0.13
Supt3	0.0111946644525915	-1.90734937097161	1	0.038	0.133	0.095
Itga8	0.0112711143835638	-1.33229578900022	1	0.031	0.12	0.089
Akap7	0.0113423434560178	0.999908762709758	1	0.338	0.181	0.157
Eif4g3	0.0113706827001655	1.52235826925252	1	0.223	0.096	0.127
Amn1	0.0114450343200534	-1.1161895151438	1	0.108	0.229	0.121
Septin8	0.0115089883733575	-1.62404906805806	1	0.069	0.181	0.112
Phkb	0.0115496987096872	1.53644903770841	1	0.269	0.145	0.124
Commd1	0.0116171705030996	3.59023062898388	1	0.1	0.012	0.088
Fam168b	0.0118721714260956	-6.02709928662635	1	0	0.048	0.048
Hdac4	0.0118721714260956	-5.96041452195787	1	0	0.048	0.048
Vps4b	0.0118721714260956	-6.27491557018946	1	0	0.048	0.048
Smyd2	0.0118721714260956	-6.58089295576362	1	0	0.048	0.048
Odf2	0.0118721714260956	-6.06292808491708	1	0	0.048	0.048
Hspa5	0.0118721714260956	-6.16215961120694	1	0	0.048	0.048
Adal	0.0118721714260956	-6.28042184871594	1	0	0.048	0.048
Slc24a5	0.0118721714260956	-5.99581218742792	1	0	0.048	0.048
Galk2	0.0118721714260956	-6.34428212885274	1	0	0.048	0.048
Osbpl2	0.0118721714260956	-6.05277643767313	1	0	0.048	0.048
Setd7	0.0118721714260956	-5.9026910423092	1	0	0.048	0.048
Fbxw7	0.0118721714260956	-6.32877857833116	1	0	0.048	0.048
Msto1	0.0118721714260956	-6.45210441849664	1	0	0.048	0.048
Ndufaf4	0.0118721714260956	-6.09429990850158	1	0	0.048	0.048
Topors	0.0118721714260956	-6.56409312112541	1	0	0.048	0.048
Tmem59	0.0118721714260956	-6.07546098204972	1	0	0.048	0.048
Czib	0.0118721714260956	-6.24902236521889	1	0	0.048	0.048
Rnf11	0.0118721714260956	-6.16210017964297	1	0	0.048	0.048
Guf1	0.0118721714260956	-6.15763959133414	1	0	0.048	0.048
Nup205	0.0118721714260956	-6.19728737605364	1	0	0.048	0.048
Fam98c	0.0118721714260956	-6.31402673189772	1	0	0.048	0.048
Rps11	0.0118721714260956	-5.77481647173422	1	0	0.048	0.048
Hps5	0.0118721714260956	-6.25746610359638	1	0	0.048	0.048
Nox4	0.0118721714260956	-6.1287918011041	1	0	0.048	0.048
Eef2k	0.0118721714260956	-6.06255940875085	1	0	0.048	0.048
Sult1a1	0.0118721714260956	-6.32250525680476	1	0	0.048	0.048
Ikzf5	0.0118721714260956	-5.99499189319286	1	0	0.048	0.048
Snx25	0.0118721714260956	-6.1024914625087	1	0	0.048	0.048
Csgalnact1	0.0118721714260956	-6.22773316253701	1	0	0.048	0.048
Cyld	0.0118721714260956	-5.85268675967274	1	0	0.048	0.048
Prdm10	0.0118721714260956	-5.91029006810202	1	0	0.048	0.048
Ei24	0.0118721714260956	-5.87587923250876	1	0	0.048	0.048
