gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Prpf38b	0.00371846803688803	-1.31408028043771	1	0.08	0.235	0.155
Rpgrip1	0.00379622705697014	-3.29301380863711	1	0.009	0.099	0.09
Filip1l	0.00379622705697014	-3.10768141794107	1	0.009	0.099	0.09
Rmnd5a	0.00383863974976382	-1.76727545518859	1	0.062	0.198	0.136
Nfyc	0.00384484996920904	-1.49451105530655	1	0.098	0.259	0.161
Fam3c	0.00388355210737465	-2.77808037306688	1	0.009	0.099	0.09
Zfand6	0.00391990480192392	-0.893318598160215	1	0.232	0.432	0.2
Auh	0.00393866029397227	-2.60046194607396	1	0.027	0.136	0.109
Braf	0.00398252282858073	2.59235317494724	1	0.17	0.037	0.133
Immp1l	0.00420831132682347	-1.59636521947998	1	0.054	0.185	0.131
Clec7a	0.00425460916212218	-2.64470972389081	1	0.036	0.148	0.112
Cox4i1	0.00432841414389855	-2.22731629954822	1	0.036	0.148	0.112
Pura	0.00439682737516461	-2.25785424418483	1	0.027	0.136	0.109
Ptk2b	0.00441073803260845	2.09700286457716	1	0.312	0.16	0.152
Riok1	0.00455996369148047	-2.2338162466574	1	0.027	0.136	0.109
Man1a2	0.00466295395273803	1.24610012530934	1	0.402	0.235	0.167
Map2k5	0.00482535832597758	-1.43330538885975	1	0.125	0.284	0.159
Fto	0.00489553372813394	-1.16498999237945	1	0.161	0.333	0.172
Eef1a1	0.0049198530959419	-1.57313029688607	1	0.062	0.198	0.136
Arsg	0.00504675839624602	-2.07091135669903	1	0.036	0.148	0.112
H3f3b	0.00508279556091887	-1.79555084093751	1	0.027	0.136	0.109
Tpp2	0.00513438173444472	-1.17245671773339	1	0.143	0.309	0.166
Plgrkt	0.00514742698971726	-0.812414473903107	1	0.125	0.309	0.184
Fggy	0.00514912417436623	-2.19157211190497	1	0.045	0.16	0.115
Retreg1	0.00515429371571528	-0.669408954114922	1	0.357	0.58	0.223
Ube2l3	0.00515759921624788	2.13430541651057	1	0.188	0.049	0.139
Tmem131l	0.00519605578611935	2.44969595704479	1	0.179	0.049	0.13
Cep63	0.00522034957217328	-2.13852075533755	1	0.036	0.148	0.112
Zfp451	0.00523222554832219	-2.14518382456082	1	0.045	0.16	0.115
Pogz	0.00548884978590186	-2.44695116813665	1	0.045	0.16	0.115
Pphln1	0.00549086291531227	-1.98180285469094	1	0.036	0.148	0.112
Ago3	0.00551847347356102	-1.13275705150585	1	0.116	0.272	0.156
Wwp1	0.00559331716226549	-0.946540666519563	1	0.116	0.284	0.168
Gga3	0.00568624450211907	-2.71414036292095	1	0.018	0.111	0.093
Ssb	0.00581242656010287	2.19589512704364	1	0.179	0.049	0.13
Lpgat1	0.00583182755729795	-1.95885795409871	1	0.054	0.173	0.119
Atat1	0.00596901397038666	3.70214129646365	1	0.116	0.012	0.104
Rock2	0.00602647760437362	0.630520477379595	1	0.571	0.383	0.188
Rnf138	0.00603545613209173	-2.503014834275	1	0.018	0.111	0.093
Smarca2	0.0062508233395303	-1.05691405416514	1	0.259	0.457	0.198
Casc3	0.00658409498165751	-1.8413945900555	1	0.071	0.198	0.127
Slc38a2	0.00663481639374495	2.86725656116224	1	0.116	0.012	0.104
Ttc17	0.00664299617393273	-1.38867021253205	1	0.071	0.21	0.139
Ptprm	0.00673132476748666	0.961319034200284	1	0.571	0.432	0.139
Akt3	0.00674810103087284	-1.33301947057659	1	0.116	0.272	0.156
Sh3pxd2a	0.00676744148899808	-0.876199913575392	1	0.17	0.37	0.2
H2-DMa	0.00679240081844734	-2.0121744370246	1	0.018	0.111	0.093
Zfp467	0.00687115765377037	2.86318979401485	1	0.116	0.012	0.104
Ogt	0.00694581900007756	-0.963696401162191	1	0.152	0.321	0.169
Frmd4b	0.00729531238092514	-0.420192197525936	1	0.652	0.852	0.2
Cstpp1	0.00735516121800941	-3.42875448268445	1	0.009	0.086	0.077
Smg5	0.00735516121800941	-3.8185951668132	1	0.009	0.086	0.077
BC028528	0.00735516121800941	-3.82156847361973	1	0.009	0.086	0.077
Dhx32	0.00735516121800941	-3.67354448814234	1	0.009	0.086	0.077
Dctn2	0.00735516121800941	-3.5201154352615	1	0.009	0.086	0.077
Nedd4l	0.00739498516341771	-1.35493048420322	1	0.045	0.16	0.115
Xpo6	0.00741011161334081	-1.14726744310012	1	0.125	0.284	0.159
Umad1	0.00755522240893262	-1.68195203095347	1	0.062	0.185	0.123
Pip4p1	0.00759685161734362	-1.12735676816131	1	0.071	0.21	0.139
Gde1	0.00769427305446221	-3.15738229474848	1	0.009	0.086	0.077
