gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Itgb2	1.0092577256809	0.38768933990114	0.79399710844654	0.488275506014948	0.62535470856006	NA
Pttg1ip	0.0692148246452082	-0.17955587065146	3.08242755093811	-0.0582514487961974	0.953548340049788	NA
Sumo3	0.43638968292508	-0.4431935833005	1.63738576783393	-0.270671452022448	0.78664373542069	NA
Ube2g2	0.715967733234866	-0.908365758552559	1.04668080416591	-0.867853652170902	0.385474454312412	NA
Lrrc3	0.133957921046537	0.294867767401604	3.07672689192175	0.0958381350570336	0.923649129348852	NA
Trpm2	1.08487344952974	0.963022298292	0.885146693876923	1.08798044996811	0.276603738221839	NA
Cfap410	0.11271083285798	-0.182002446175663	3.08197283462043	-0.0590538774810708	0.95290919492686	NA
Pfkl	0.0103299154670403	0.0110765936808603	3.08509776154921	0.00359035419198452	0.997135317977002	NA
Icosl	0.522124777595319	0.57885575264132	1.13589655690918	0.509602524209077	0.610329955096803	NA
Gatd3a	0.030989746401121	0.303252247845722	3.08103043847014	0.0984255929637292	0.921594353097204	NA
Pwp2	0.188671009537826	-0.950161630115069	3.07678626027287	-0.308816261429484	0.757461298533217	NA
Trappc10	1.42151824803227	0.415911304359068	0.895325631185186	0.464536354006202	0.642263519766199	NA
Agpat3	0.770546841204402	-0.895633241632826	0.992669190560279	-0.90224744572491	0.366925436168894	NA
Rrp1	0.139444654184417	-0.294765185631444	2.68818789603003	-0.109652002401603	0.912685367319945	NA
Cstb	0.0206731836294401	0.158750621458314	3.0837330934368	0.0514800135576544	0.958943027601451	NA
Pdxk	0.198055681387051	-0.259819569446349	2.5004590789434	-0.103908746851454	0.917241765702302	NA
Ilvbl	0.231584985856678	0.224260633995526	2.35398721152813	0.0952684164541163	0.924101628541773	NA
Syde1	0.0103432681623997	-0.0800930054577932	3.08738205305796	-0.0259420454227436	0.979303563922369	NA
2610008E11Rik	0.855829817979328	-1.82075422211637	1.18451576286822	-1.53712958425099	0.124261579587585	NA
Plpp2	0.0483673809117504	0.255663234618295	3.08499453250952	0.082873156475361	0.933952398629701	NA
Mier2	0.172216215824935	1.26136254528921	2.99616267365275	0.4209926771938	0.673760429116598	NA
Theg	0.0128062253882561	-0.456632935023618	3.08700414197235	-0.147921063277831	0.882405064978308	NA
Madcam1	0.0441762784278122	0.353198135390599	3.08271705075855	0.114573647070103	0.90878306871698	NA
Tpgs1	0.103229062065182	0.526987261709623	3.08101263824605	0.171043524835921	0.864189541971994	NA
Cdc34	0.072989246766486	-0.0548122928620958	3.08089831639089	-0.0177910100344712	0.985805576579597	NA
Bsg	1.28353854745632	-1.02892077878262	0.865323242303571	-1.18905945025068	0.234416273560687	NA
Hcn2	0.0641558391468529	0.200043089438219	3.08442293708879	0.0648559207081465	0.948288716841723	NA
Polrmt	0.118056488244559	-0.250239131236084	3.079968900004	-0.081247291567054	0.935245290569715	NA
Rnf126	0.138307247214811	-0.105083974029145	3.0809474681035	-0.0341076811977682	0.972791283340256	NA
Prss57	0.0103432681623997	-0.0800930054577932	3.08738205305796	-0.0259420454227436	0.979303563922369	NA
Palm	0.120974836497812	-0.525479002757263	3.08602196397649	-0.170277142836715	0.864792186120715	NA
Ptbp1	0.110144511541428	0.447236714555939	3.07468774171819	0.145457604844782	0.88434958612426	NA
Prtn3	0.0103432681623997	-0.0800930054577932	3.08738205305796	-0.0259420454227436	0.979303563922369	NA
Med16	0.0334927617130556	-0.129863818842768	3.08347995826784	-0.0421159925150672	0.966406231298883	NA
R3hdm4	0.0891224390583691	0.396400708351609	3.08273984229251	0.128587142811513	0.897684340391217	NA
Arid3a	1.08601073716715	-0.422997666098483	0.808492374849519	-0.52319314226954	0.600839853210783	NA
Wdr18	0.193588887990483	1.16855598738673	2.91917088477059	0.400304070406816	0.688932570299418	NA
Grin3b	0.0169231814803859	-0.0770989515103903	3.08867858032287	-0.0249617917518407	0.980085439870059	NA
Tmem259	0.662806654745411	1.48601600477399	1.2990259257687	1.14394637958795	0.252645874968139	NA
Cnn2	0.0272664496427857	0.0989526268030578	3.08622886658211	0.0320626340692109	0.974422101772435	NA
Abca7	0.349312294231156	1.0327464452592	1.73444983195458	0.595431719172519	0.551554928309486	NA
Arhgap45	10.1613937891267	-0.279678114666713	0.270197946632883	-1.03508601065244	0.300628745119902	0.909226938742261
Polr2e	0.0802735361966704	-0.334209437812411	3.07688567449083	-0.108619387643552	0.913504382622373	NA
Gpx4	0.462948019294976	-0.911485244745968	1.6906730016673	-0.539125687727363	0.589800131934605	NA
Sbno2	1.50605711425945	0.563179675769011	0.656163523224949	0.858291654191724	0.39073143670243	NA
Stk11	0.572495735693595	-0.14043839702411	1.17732254844477	-0.119286254399551	0.90504857314185	NA
